 iter	year	species	age	number	catch
           1           9           1          16   477732.125       379.474213    
           1           9           1          17   343056.594       273.096771    
           1           9           1          18   186755.562       148.806763    
           1           9           1          19   142655.516       113.718842    
           1           9           1          20   91605.7188       73.0384979    
           1          10           1           0   24043112.0                  NaN
           1          10           1           1   114362096.       14118.9961    
           1          10           1           2   24437244.0       6800.99756    
           1          10           1           3   15939740.0       6509.79199    
           1          10           1           4   14731788.0       7058.22998    
           1          10           1           5   11713280.0       6334.49854    
           1          10           1           6   5427908.50       3208.57104    
           1          10           1           7   14600646.0       9332.42969    
           1          10           1           8   2677676.00       1765.13867    
           1          10           1           9   2222416.50       1507.01306    
           1          10           1          10   2504789.75       1737.38342    
           1          10           1          11   2227732.75       1550.21301    
           1          10           1          12   1805708.12       1284.16589    
           1          10           1          13   1306394.75       927.853577    
           1          10           1          14   905361.125       648.197327    
           1          10           1          15   693603.812       509.475830    
           1          10           1          16   519109.344       385.293823    
           1          10           1          17   387607.625       288.435242    
           1          10           1          18   278335.688       207.256683    
           1          10           1          19   151521.297       112.871048    
           1          10           1          20   115741.266       86.2362137    
           1          11           1           0   23045790.0                  NaN
           1          11           1           1   37020532.0       4719.14062    
           1          11           1           2   93386936.0       27832.6348    
           1          11           1           3   19918488.0       8739.86914    
           1          11           1           4   12977283.0       6656.04736    
           1          11           1           5   11984418.0       6914.40527    
           1          11           1           6   9521939.00       6076.74023    
           1          11           1           7   4410125.50       2992.79468    
           1          11           1           8   11857992.0       8393.52441    
           1          11           1           9   2174222.75       1576.71716    
           1          11           1          10   1804187.62       1342.29321    
           1          11           1          11   2033304.62       1511.93689    
           1          11           1          12   1808114.25       1377.25439    
           1          11           1          13   1465508.12       1115.29663    
           1          11           1          14   1060239.88       811.363037    
           1          11           1          15   734629.375       578.177856    
           1          11           1          16   562735.250       446.828674    
           1          11           1          17   421143.781       335.385254    
           1          11           1          18   314454.312       250.675446    
           1          11           1          19   225804.750       180.051697    
           1          11           1          20   122924.086       98.0332031    
           1          12           1           0   23801522.0                  NaN
           1          12           1           1   35329620.0       34234.1797    
           1          12           1           2   29912132.0       63440.3906    
           1          12           1           3   74831024.0       237710.500    
           1          12           1           4   15884870.0       59249.0508    
           1          12           1           5   10308948.0       43551.6016    
           1          12           1           6   9489710.00       43784.4883    
           1          12           1           7   7518394.00       37238.4141    
           1          12           1           8   3477587.75       17739.6172    
           1          12           1           9   9338174.00       49221.8945    
           1          12           1          10   1710619.62       9205.29297    
           1          12           1          11   1419294.50       7651.21094    
           1          12           1          12   1597959.50       8818.31641    
           1          12           1          13   1420997.75       7824.92773    
           1          12           1          14   1151448.50       6382.46924    
           1          12           1          15   832013.250       4744.63623    
           1          12           1          16   576236.062       3313.72534    
           1          12           1          17   441334.094       2545.62524    
           1          12           1          18   330272.188       1906.89087    
           1          12           1          19   246598.109       1424.41663    
           1          12           1          20   177077.031       1022.95215    
           1          13           1           0   22748698.0                  NaN
           1          13           1           1   36397328.0       53126.9375    
           1          13           1           2   28222610.0       87230.1562    
           1          13           1           3   23485142.0       109438.086    
           1          13           1           4   58125076.0       319931.250    
           1          13           1           5   12253455.0       74853.7891    
           1          13           1           6   7899522.00       53148.2383    
           1          13           1           7   7234060.50       52239.0586    
           1          13           1           8   5713025.00       42686.3008    
           1          13           1           9   2637147.00       20242.0664    
           1          13           1          10   7068776.50       55258.1875    
           1          13           1          11   1294115.00       10161.0723    
           1          13           1          12   1072340.62       8589.94434    
           1          13           1          13   1206589.00       9692.96680    
           1          13           1          14   1072572.12       8681.03027    
           1          13           1          15   867601.000       7205.62695    
           1          13           1          16   626173.688       5248.32764    
           1          13           1          17   433526.625       3643.06104    
           1          13           1          18   331991.156       2792.69287    
           1          13           1          19   248433.609       2090.66968    
           1          13           1          20   185489.172       1561.27576    
           1          14           1           0   22247920.0                  NaN
           1          14           1           1   34895464.0       29990.0547    
           1          14           1           2   29158202.0       58868.4688    
           1          14           1           3   22271112.0       63965.8672    
           1          14           1           4   18334730.0       61211.8242    
           1          14           1           5   45032668.0       173238.281    
           1          14           1           6   9443523.00       40189.0703    
           1          14           1           7   6059189.00       27546.3555    
           1          14           1           8   5532421.00       25904.7012    
           1          14           1           9   4360315.00       21113.6465    
           1          14           1          10   2009802.88       9915.23242    
           1          14           1          11   5384243.00       26549.6621    
           1          14           1          12   984599.812       4980.67480    
           1          14           1          13   815443.438       4122.82080    
           1          14           1          14   917245.062       4661.62646    
           1          14           1          15   814207.062       4265.23633    
           1          14           1          16   657902.812       3471.54712    
           1          14           1          17   474638.531       2511.34033    
           1          14           1          18   328572.594       1740.15295    
           1          14           1          19   251606.297       1332.98962    
           1          14           1          20   188276.484       997.666504    
           1          15           1           0   74855216.0                  NaN
           1          15           1           1   34120772.0       30628.5781    
           1          15           1           2   28090882.0       53117.0508    
           1          15           1           3   23154206.0       67688.0469    
           1          15           1           4   17560906.0       58859.3633    
           1          15           1           5   14376007.0       55548.9727    
           1          15           1           6   35140840.0       147173.906    
           1          15           1           7   7339594.50       33092.0586    
           1          15           1           8   4698698.00       21879.3535    
           1          15           1           9   4284086.00       20503.9609    
           1          15           1          10   3371380.50       16508.2363    
           1          15           1          11   1553514.88       7597.10645    
           1          15           1          12   4158218.75       20818.5840    
           1          15           1          13   760005.938       3809.75879    
           1          15           1          14   629309.438       3170.33032    
           1          15           1          15   707063.438       3661.77271    
           1          15           1          16   627025.500       3276.95874    
           1          15           1          17   506532.906       2653.60278    
           1          15           1          18   365399.562       1916.11096    
           1          15           1          19   252942.359       1326.85376    
           1          15           1          20   193689.406       1016.19006    
           1          16           1           0   25115562.0                  NaN
           1          16           1           1   114960840.       71433.7656    
           1          16           1           2   27534234.0       39303.6523    
           1          16           1           3   22426498.0       49077.7461    
           1          16           1           4   18345250.0       46398.8320    
           1          16           1           5   13857871.0       39210.9102    
           1          16           1           6   11292591.0       35362.4219    
           1          16           1           7   27525348.0       92146.0859    
           1          16           1           8   5735991.50       19933.4551    
           1          16           1           9   3667492.75       13098.8291    
           1          16           1          10   3340130.75       12206.5225    
           1          16           1          11   2627382.75       9605.36523    
           1          16           1          12   1209939.38       4526.57324    
           1          16           1          13   3237178.75       12110.0498    
           1          16           1          14   591524.062       2228.22754    
           1          16           1          15   489390.031       1893.08325    
           1          16           1          16   549404.438       2144.28857    
           1          16           1          17   487082.812       1906.73096    
           1          16           1          18   393453.000       1541.51880    
           1          16           1          19   283817.344       1112.40808    
           1          16           1          20   196466.359       770.132141    
           1          17           1           0   29702102.0                  NaN
           1          17           1           1   38445276.0       48713.4531    
           1          17           1           2   92131528.0       272580.062    
           1          17           1           3   21764076.0       93122.3281    
           1          17           1           4   17567302.0       88468.7969    
           1          17           1           5   14276777.0       81878.1250    
           1          17           1           6   10724428.0       67828.3125    
           1          17           1           7   8701520.00       58424.9180    
           1          17           1           8   21152006.0       147430.125    
           1          17           1           9   4399338.50       31521.3750    
           1          17           1          10   2808057.00       20638.8027    
           1          17           1          11   2556659.25       18764.4766    
           1          17           1          12   2008360.00       15110.0371    
           1          17           1          13   924530.188       6959.21631    
           1          17           1          14   2472737.50       18720.2676    
           1          17           1          15   451056.375       3515.07422    
           1          17           1          16   372882.406       2925.36499    
           1          17           1          17   418472.000       3293.93652    
           1          17           1          18   370959.406       2923.49878    
           1          17           1          19   299643.031       2362.16553    
           1          17           1          20   216143.969       1704.21106    
           1          18           1           0   35772720.0                  NaN
           1          18           1           1   45174752.0       114683.219    
           1          18           1           2   30219134.0       168973.812    
           1          18           1           3   70469424.0       577952.375    
           1          18           1           4   16368145.0       159221.672    
           1          18           1           5   13059723.0       141667.141    
           1          18           1           6   10495987.0       125787.680    
           1          18           1           7   7813733.50       100996.469    
           1          18           1           8   6310624.50       84357.2812    
           1          18           1           9   15284489.0       209765.547    
           1          18           1          10   3169892.00       44442.2344    
           1          18           1          11   2021886.88       28335.3086    
           1          18           1          12   1836156.88       26396.1738    
           1          18           1          13   1441559.38       20683.3340    
           1          18           1          14   663139.625       9583.63867    
           1          18           1          15   1768266.75       26250.5879    
           1          18           1          16   321937.688       4825.47119    
           1          18           1          17   266036.469       3995.26050    
           1          18           1          18   298492.844       4488.19287    
           1          18           1          19   264577.406       3980.29663    
           1          18           1          20   213707.672       3215.41943    
           1          19           1           0   29415006.0                  NaN
           1          19           1           1   54601988.0       99146.4922    
           1          19           1           2   35430008.0       155204.016    
           1          19           1           3   23002332.0       142650.078    
           1          19           1           4   52539120.0       386613.188    
           1          19           1           5   12031330.0       101060.164    
           1          19           1           6   9504871.00       86421.8125    
           1          19           1           7   7562593.00       74505.4219    
           1          19           1           8   5593823.00       57086.9883    
           1          19           1           9   4500787.00       47171.4922    
